geo3x3,city,town
E9125937347,北九州市門司区,青葉台
E91259373864,北九州市門司区,泉ケ丘
E91259373736,北九州市門司区,稲積一丁目
E91259373577,北九州市門司区,稲積二丁目
E9125937656,北九州市門司区,梅ノ木町
E9125938795,北九州市門司区,老松町
E912593854,北九州市門司区,大字伊川
E912593825,北九州市門司区,大字今津
E912593883,北九州市門司区,大字大積
E912593733,北九州市門司区,大字吉志
E9125938569,北九州市門司区,大字喜多久
E912593872,北九州市門司区,大字黒川
E9125938712,北九州市門司区,大字小森江
E912593827,北九州市門司区,大字猿喰
E912593889,北九州市門司区,大字白野江
E9125938411,北九州市門司区,大字大里
E9125962236,北九州市門司区,大字田野浦
E912593584,北九州市門司区,大字恒見
E912593815,北九州市門司区,大字畑
E912593855,北九州市門司区,大字柄杓田
E9125938751,北九州市門司区,大字門司
E9125962214,北九州市門司区,大久保一丁目
E9125962215,北九州市門司区,大久保二丁目
E9125962216,北九州市門司区,大久保三丁目
E91259384547,北九州市門司区,奥田一丁目
E9125938446,北九州市門司区,奥田二丁目
E91259384543,北九州市門司区,奥田三丁目
E9125938458,北九州市門司区,奥田四丁目
E912593848,北九州市門司区,奥田五丁目
E9125938878,北九州市門司区,花月園
E9125938748,北九州市門司区,風師一丁目
E9125938745,北九州市門司区,風師二丁目
E9125938741,北九州市門司区,風師三丁目
E9125938717,北九州市門司区,風師四丁目
E912593873,北九州市門司区,春日町
E9125937938,北九州市門司区,片上海岸
E9125937933,北九州市門司区,片上町
E9125937666,北九州市門司区,上二十町
E9125937354,北九州市門司区,上藤松一丁目
E9125937346,北九州市門司区,上藤松二丁目
E9125937344,北九州市門司区,上藤松三丁目
E9125938876,北九州市門司区,上本町
E91259373842,北九州市門司区,上馬寄一丁目
E9125937382,北九州市門司区,上馬寄二丁目
E9125937358,北九州市門司区,上馬寄三丁目
E9125938133,北九州市門司区,吉志一丁目
E9125935799,北九州市門司区,吉志二丁目
E9125935795,北九州市門司区,吉志三丁目
E9125935797,北九州市門司区,吉志四丁目
E91259357881,北九州市門司区,吉志五丁目
E91259357889,北九州市門司区,吉志六丁目
E9125938131,北九州市門司区,吉志七丁目
E91259381325,北九州市門司区,吉志新町一丁目
E91259381329,北九州市門司区,吉志新町二丁目
E9125938135,北九州市門司区,吉志新町三丁目
E9125938134,北九州市門司区,吉志新町四丁目
E91259376995,北九州市門司区,北川町
E9125962131,北九州市門司区,旧門司一丁目
E9125962134,北九州市門司区,旧門司二丁目
E9125938758,北九州市門司区,清滝一丁目
E91259387834,北九州市門司区,清滝二丁目
E9125938759,北九州市門司区,清滝三丁目
E91259387911,北九州市門司区,清滝四丁目
E91259387913,北九州市門司区,清滝五丁目
E9125962211,北九州市門司区,清見一丁目
E9125962212,北九州市門司区,清見二丁目
E9125938879,北九州市門司区,清見三丁目
E9125938887,北九州市門司区,清見四丁目
E9125938885,北九州市門司区,清見佐夜町
E9125938744,北九州市門司区,葛葉一丁目
E9125937963,北九州市門司区,葛葉二丁目
E91259379367,北九州市門司区,葛葉三丁目
E9125938578,北九州市門司区,黒川西一丁目
E9125938576,北九州市門司区,黒川西二丁目
E9125938579,北九州市門司区,黒川西三丁目
E9125938813,北九州市門司区,黒川東一丁目
E9125938819,北九州市門司区,黒川東二丁目
E9125937664,北九州市門司区,黄金町
E9125937389,北九州市門司区,小松町
E91259376987,北九州市門司区,小森江一丁目
E91259376988,北九州市門司区,小森江二丁目
E9125937691,北九州市門司区,小森江三丁目
E9125938794,北九州市門司区,栄町
E9125938441,北九州市門司区,寺内一丁目
E9125937639,北九州市門司区,寺内二丁目
E91259384174,北九州市門司区,寺内三丁目
E9125938418,北九州市門司区,寺内四丁目
E91259384175,北九州市門司区,寺内五丁目
E91259376673,北九州市門司区,下二十町
E91259376211,北九州市門司区,下馬寄
E9125937379,北九州市門司区,社ノ木一丁目
E91259373847,北九州市門司区,社ノ木二丁目
E9125938796,北九州市門司区,庄司町
E9125938942,北九州市門司区,白野江一丁目
E9125938945,北九州市門司区,白野江二丁目
E9125938949,北九州市門司区,白野江三丁目
E912593897,北九州市門司区,白野江四丁目
E9125938419,北九州市門司区,城山町
E91259622249,北九州市門司区,新開
E9125937385,北九州市門司区,新原町
E912593822,北九州市門司区,新門司一丁目
E912593588,北九州市門司区,新門司二丁目
E912593585,北九州市門司区,新門司三丁目
E912593828,北九州市門司区,新門司北一丁目
E912593829,北九州市門司区,新門司北二丁目
E912593826,北九州市門司区,新門司北三丁目
E9125962139,北九州市門司区,瀬戸町
E912593842,北九州市門司区,大里桜ケ丘
E9125937612,北九州市門司区,大里新町
E9125937661,北九州市門司区,大里戸ノ上一丁目
E9125937662,北九州市門司区,大里戸ノ上二丁目
E9125937638,北九州市門司区,大里戸ノ上三丁目
E9125937636,北九州市門司区,大里戸ノ上四丁目
E91259376251,北九州市門司区,大里原町
E91259376921,北九州市門司区,大里東一丁目
E9125937668,北九州市門司区,大里東二丁目
E9125937693,北九州市門司区,大里東三丁目
E9125937669,北九州市門司区,大里東四丁目
E9125938471,北九州市門司区,大里東五丁目
E91259376674,北九州市門司区,大里東口
