townid,town
2592,阿井
2546,相名
2647,朝生
1691,阿津江
2566,鮎川
247,出羽
2581,井ノ谷
2553,入野
14,岩倉
2543,請ノ谷
2564,牛輪
246,臼ヶ谷
257,内山
2594,馬路
2583,榎谷
2526,大久保
2416,大戸
162,大殿
183,小畠
2439,音谷
261,雄
137,海川
227,蔭谷
168,掛盤
158,川成
214,川俣
1662,木頭
129,木頭出原
116,木頭折宇
117,木頭北川
152,木頭助
127,木頭西宇
1284,木頭南宇
1692,木頭名
1285,木頭和無田
16971,小泉
1631,御所谷
26742,小仁宇
2426,小計
2429,小浜
165,坂州
2437,桜谷
192,沢谷
139,丈ヶ谷
2458,菖蒲
164,白石
16976,高野
249,竹ヶ谷
2555,谷内
193,寺内
1669,当山
26749,土佐
2451,長安
268,中山
1387,成瀬
2595,仁宇
2547,西納
2563,延野
2441,拝宮
2531,鉢
2435,花瀬
2514,日浦
2449,東尾
2455,桧曽根
2417,日真
1633,平谷
2582,平野
218,深森
1389,府殿
2422,古屋
2516,朴野
219,水崎
2671,百合
2646,百合谷
2642,簗ノ上
2522,横石
167,横谷
2537,吉野
2675,和食
2676,和食郷
